year,ws,plot,tree,history,species,sp_cd,dbh_cm,tr_ht_m,comments
2013,77,100,2778,1,Loblolly Pine,131,13.1,13.4,
2013,77,100,2779,1,Loblolly Pine,131,31.5,21.5,
2013,77,100,2780,1,Loblolly Pine,131,31.0,22.5,
2013,77,110,2521,1,Loblolly Pine,131,20.4,22.4,
2013,77,110,2522,1,Loblolly Pine,131,28.3,24.3,
2013,77,110,2523,1,Loblolly Pine,131,32.3,27.5,
2013,77,110,2524,1,Loblolly Pine,131,25.3,21.1,
2013,77,110,2525,1,Loblolly Pine,131,35.6,24.9,
2013,77,110,2526,1,Loblolly Pine,131,39.2,28.3,
2013,77,110,2527,1,Loblolly Pine,131,25.0,20.9,
2013,77,110,2528,1,Loblolly Pine,131,19.5,18.5,
2013,77,110,2529,1,Loblolly Pine,131,36.2,24.7,
2013,77,110,2530,1,Loblolly Pine,131,28.1,23.5,
2013,77,160,2971,1,Loblolly Pine,131,45.2,32.1,
2013,77,160,2972,1,Loblolly Pine,131,43.6,31.7,
2013,77,160,2973,1,Loblolly Pine,131,8.1,12.7,
2013,77,160,2974,1,Loblolly Pine,131,10.1,10.1,
2013,77,160,2975,1,Loblolly Pine,131,12.5,15.1,
2013,77,160,2976,1,Loblolly Pine,131,13.1,13.3,
2013,77,160,2978,1,Loblolly Pine,131,16.6,16.9,
2013,77,160,2979,1,Loblolly Pine,131,40.6,31.3,
2013,77,160,2981,1,Loblolly Pine,131,36.4,27.9,
2013,77,160,2982,1,Loblolly Pine,131,34.5,27.4,
2013,77,160,2983,1,Loblolly Pine,131,38.5,26.8,
2013,77,180,2815,2,Loblolly Pine,131,11.2,5.2,
2013,77,180,2816,1,Loblolly Pine,131,13.1,14.3,
2013,77,180,2817,1,Loblolly Pine,131,39.0,26.3,
2013,77,180,2818,1,Loblolly Pine,131,44.2,28.5,
2013,77,180,2821,1,Loblolly Pine,131,33.4,22.4,
2013,77,180,2822,1,Loblolly Pine,131,35.4,24.9,
2013,77,180,2823,1,Loblolly Pine,131,23.9,18.0,
2013,77,180,2824,1,Loblolly Pine,131,39.1,29.0,
2013,77,180,2826,1,Loblolly Pine,131,29.6,27.3,
2013,77,180,2827,1,Loblolly Pine,131,18.3,16.4,
2013,77,190,2717,1,Loblolly Pine,131,11.9,12.4,
2013,77,190,2718,1,Loblolly Pine,131,12.2,15.3,
2013,77,190,2719,1,Loblolly Pine,131,10.5,11.6,
2013,77,190,2720,1,Loblolly Pine,131,12.5,16.6,
2013,77,190,2721,1,Loblolly Pine,131,12.1,15.9,
2013,77,190,2722,1,Loblolly Pine,131,12.5,16.7,
2013,77,190,2723,1,Loblolly Pine,131,7.7,11.3,
2013,77,190,2724,1,Loblolly Pine,131,14.2,15.3,
2013,77,190,2725,1,Loblolly Pine,131,18.6,18.3,
2013,77,190,2726,1,Loblolly Pine,131,9.0,12.7,
2013,77,190,2727,1,Loblolly Pine,131,9.5,12.1,
2013,77,190,2728,1,Loblolly Pine,131,16.6,11.1,
2013,77,190,2729,1,Loblolly Pine,131,37.4,30.9,
2013,77,190,2730,1,Loblolly Pine,131,8.1,10.1,
2013,77,190,2731,1,Loblolly Pine,131,13.7,17.2,
